date,region,forecast_total_claims
2023-10-10,East,2.5012116
2023-10-11,East,2.5212955
2023-10-12,East,2.5393362
2023-10-13,East,2.5754154
2023-10-14,East,2.593439
2023-10-15,East,2.5792818
2023-10-16,East,2.5222023
2023-10-17,East,2.5363343
2023-10-18,East,2.5372758
2023-10-19,East,2.537929
2023-10-20,East,2.5382347
2023-10-21,East,2.537395
2023-10-22,East,2.5354977
2023-10-23,East,2.5341032
2023-10-24,East,2.534458
2023-10-25,East,2.5344107
2023-10-26,East,2.53434
2023-10-27,East,2.534246
2023-10-28,East,2.5341275
2023-10-29,East,2.5340214
2023-10-30,East,2.533975
2023-10-31,East,2.5339718
2023-11-01,East,2.5339582
2023-11-02,East,2.5339453
2023-11-03,East,2.5339336
2023-11-04,East,2.5339243
2023-11-05,East,2.5339177
2023-11-06,East,2.5339146
2023-11-07,East,2.5339131
2023-11-08,East,2.5339112
2023-10-10,North,2.6805115
2023-10-11,North,2.7619016
2023-10-12,North,2.716196
2023-10-13,North,2.72076
2023-10-14,North,2.5630643
2023-10-15,North,2.5772004
2023-10-16,North,2.5932083
2023-10-17,North,2.6145573
2023-10-18,North,2.6140718
2023-10-19,North,2.6089287
2023-10-20,North,2.6051948
2023-10-21,North,2.5998178
2023-10-22,North,2.6010852
2023-10-23,North,2.6020668
2023-10-24,North,2.6025965
2023-10-25,North,2.6022317
2023-10-26,North,2.6018093
2023-10-27,North,2.6015325
2023-10-28,North,2.6013622
2023-10-29,North,2.6014256
2023-10-30,North,2.6014504
2023-10-31,North,2.601438
2023-11-01,North,2.6013985
2023-11-02,North,2.6013682
2023-11-03,North,2.6013508
2023-11-04,North,2.601344
2023-11-05,North,2.601344
2023-11-06,North,2.6013422
2023-11-07,North,2.6013386
2023-11-08,North,2.601335
2023-10-10,South,2.532261
2023-10-11,South,2.4935517
2023-10-12,South,2.3967438
2023-10-13,South,2.3575356
2023-10-14,South,2.3760655
2023-10-15,South,2.3966465
2023-10-16,South,2.4185057
2023-10-17,South,2.4407525
2023-10-18,South,2.4345036
2023-10-19,South,2.4306333
2023-10-20,South,2.4327896
2023-10-21,South,2.4374213
2023-10-22,South,2.4412081
2023-10-23,South,2.4439766
2023-10-24,South,2.4454987
2023-10-25,South,2.4457548
2023-10-26,South,2.446442
2023-10-27,South,2.4474206
2023-10-28,South,2.448323
2023-10-29,South,2.4489908
2023-10-30,South,2.4494662
2023-10-31,South,2.4497993
2023-11-01,South,2.4500623
2023-11-02,South,2.4503267
2023-11-03,South,2.4505656
2023-11-04,South,2.450758
2023-11-05,South,2.4509072
2023-11-06,South,2.4510245
2023-11-07,South,2.4511201
2023-11-08,South,2.4512007
2023-10-10,West,2.6254888
2023-10-11,West,2.6468039
2023-10-12,West,2.6046615
2023-10-13,West,2.6209574
2023-10-14,West,2.6465256
2023-10-15,West,2.5057244
2023-10-16,West,2.5176263
2023-10-17,West,2.5040512
2023-10-18,West,2.5022547
2023-10-19,West,2.4995587
2023-10-20,West,2.4980805
2023-10-21,West,2.4964497
2023-10-22,West,2.4935105
2023-10-23,West,2.4933348
2023-10-24,West,2.4929552
2023-10-25,West,2.4927826
2023-10-26,West,2.4926348
2023-10-27,West,2.4925284
2023-10-28,West,2.4924445
2023-10-29,West,2.492382
2023-10-30,West,2.4923646
2023-10-31,West,2.4923496
2023-11-01,West,2.4923403
2023-11-02,West,2.4923337
2023-11-03,West,2.492329
2023-11-04,West,2.4923258
2023-11-05,West,2.4923239
2023-11-06,West,2.4923232
2023-11-07,West,2.4923224
2023-11-08,West,2.492322
