date,region,forecast_total_claims
2023-10-10,East,1.5270294
2023-10-11,East,1.8160207
2023-10-12,East,1.8160207
2023-10-13,East,2.3247383
2023-10-14,East,3.0287006
2023-10-15,East,3.1572993
2023-10-16,East,3.1572993
2023-10-17,East,2.308925
2023-10-18,East,2.2954962
2023-10-19,East,2.2954962
2023-10-20,East,2.8042128
2023-10-21,East,3.0287006
2023-10-22,East,3.1572993
2023-10-23,East,3.0260522
2023-10-24,East,2.1776779
2023-10-25,East,2.164249
2023-10-26,East,2.2954962
2023-10-27,East,2.8042128
2023-10-28,East,3.0287006
2023-10-29,East,3.0260522
2023-10-30,East,3.0260522
2023-10-31,East,2.1776779
2023-11-01,East,2.164249
2023-11-02,East,2.164249
2023-11-03,East,2.8042128
2023-11-04,East,3.0287006
2023-11-05,East,3.0260522
2023-11-06,East,3.0260522
2023-11-07,East,2.1776779
2023-11-08,East,2.164249
2023-10-10,North,2.110686
2023-10-11,North,2.190249
2023-10-12,North,2.2411442
2023-10-13,North,2.2411442
2023-10-14,North,2.5886986
2023-10-15,North,3.0796971
2023-10-16,North,2.6645858
2023-10-17,North,2.1610825
2023-10-18,North,2.2411442
2023-10-19,North,2.2411442
2023-10-20,North,2.2411442
2023-10-21,North,2.6264875
2023-10-22,North,3.0796971
2023-10-23,North,2.7795823
2023-10-24,North,2.1610825
2023-10-25,North,2.2411442
2023-10-26,North,2.2411442
2023-10-27,North,2.2411442
2023-10-28,North,2.6264875
2023-10-29,North,3.0796971
2023-10-30,North,2.7795823
2023-10-31,North,2.1922762
2023-11-01,North,2.2411442
2023-11-02,North,2.2411442
2023-11-03,North,2.2411442
2023-11-04,North,2.6264875
2023-11-05,North,3.0796971
2023-11-06,North,2.7795823
2023-11-07,North,2.1922762
2023-11-08,North,2.2411442
2023-10-10,South,2.4381258
2023-10-11,South,2.1642663
2023-10-12,South,2.3477728
2023-10-13,South,2.3477728
2023-10-14,South,2.3477728
2023-10-15,South,2.1326098
2023-10-16,South,2.1326098
2023-10-17,South,2.1642663
2023-10-18,South,2.1642663
2023-10-19,South,2.3477728
2023-10-20,South,2.3477728
2023-10-21,South,2.3477728
2023-10-22,South,2.1326098
2023-10-23,South,2.1326098
2023-10-24,South,2.1642663
2023-10-25,South,2.1642663
2023-10-26,South,2.3477728
2023-10-27,South,2.3477728
2023-10-28,South,2.3477728
2023-10-29,South,2.1326098
2023-10-30,South,2.1326098
2023-10-31,South,2.1642663
2023-11-01,South,2.1642663
2023-11-02,South,2.3477728
2023-11-03,South,2.3477728
2023-11-04,South,2.3477728
2023-11-05,South,2.1326098
2023-11-06,South,2.1326098
2023-11-07,South,2.1642663
2023-11-08,South,2.1642663
2023-10-10,West,3.257852
2023-10-11,West,3.2978647
2023-10-12,West,3.2978647
2023-10-13,West,3.3860152
2023-10-14,West,3.2043328
2023-10-15,West,3.2043328
2023-10-16,West,3.461494
2023-10-17,West,3.1481826
2023-10-18,West,3.2025037
2023-10-19,West,3.4464161
2023-10-20,West,3.3860152
2023-10-21,West,3.2043328
2023-10-22,West,3.2043328
2023-10-23,West,3.461494
2023-10-24,West,3.1481826
2023-10-25,West,3.2025037
2023-10-26,West,3.4464161
2023-10-27,West,3.3860152
2023-10-28,West,3.2043328
2023-10-29,West,3.2043328
2023-10-30,West,3.461494
2023-10-31,West,3.7095768
2023-11-01,West,3.7638981
2023-11-02,West,4.0078115
2023-11-03,West,3.6980815
2023-11-04,West,3.7657273
2023-11-05,West,3.7657273
2023-11-06,West,3.9190655
2023-11-07,West,3.7095768
2023-11-08,West,3.7638981
