date,region,shift_type,agents_scheduled,agents_present,absentee_count,supervisor_on_duty
2023-01-01,North,Morning,5,4,1,True
2023-01-01,North,Evening,7,7,0,True
2023-01-01,North,Night,5,3,2,True
2023-01-01,South,Morning,12,10,2,True
2023-01-01,South,Evening,12,12,0,True
2023-01-01,South,Night,6,5,1,True
2023-01-01,East,Morning,13,11,2,False
2023-01-01,East,Evening,8,6,2,True
2023-01-01,East,Night,12,11,1,True
2023-01-01,West,Morning,9,9,0,True
2023-01-01,West,Evening,5,5,0,True
2023-01-01,West,Night,9,9,0,True
2023-01-02,North,Morning,14,12,2,True
2023-01-02,North,Evening,11,10,1,True
2023-01-02,North,Night,6,6,0,True
2023-01-02,South,Morning,8,6,2,True
2023-01-02,South,Evening,11,11,0,True
2023-01-02,South,Night,11,9,2,True
2023-01-02,East,Morning,11,11,0,True
2023-01-02,East,Evening,6,6,0,True
2023-01-02,East,Night,14,13,1,True
2023-01-02,West,Morning,9,9,0,True
2023-01-02,West,Evening,14,12,2,False
2023-01-02,West,Night,13,12,1,True
2023-01-03,North,Morning,10,9,1,True
2023-01-03,North,Evening,6,6,0,True
2023-01-03,North,Night,9,9,0,True
2023-01-03,South,Morning,7,7,0,True
2023-01-03,South,Evening,6,5,1,True
2023-01-03,South,Night,7,7,0,True
2023-01-03,East,Morning,5,5,0,True
2023-01-03,East,Evening,14,13,1,True
2023-01-03,East,Night,6,4,2,True
2023-01-03,West,Morning,9,8,1,True
2023-01-03,West,Evening,9,9,0,True
2023-01-03,West,Night,13,11,2,True
2023-01-04,North,Morning,7,7,0,True
2023-01-04,North,Evening,13,13,0,True
2023-01-04,North,Night,12,11,1,True
2023-01-04,South,Morning,12,10,2,True
2023-01-04,South,Evening,6,5,1,True
2023-01-04,South,Night,5,3,2,True
2023-01-04,East,Morning,8,8,0,True
2023-01-04,East,Evening,9,9,0,True
2023-01-04,East,Night,11,10,1,True
2023-01-04,West,Morning,14,12,2,True
2023-01-04,West,Evening,14,13,1,True
2023-01-04,West,Night,13,12,1,True
2023-01-05,North,Morning,8,6,2,True
2023-01-05,North,Evening,9,9,0,True
2023-01-05,North,Night,11,9,2,True
2023-01-05,South,Morning,13,11,2,True
2023-01-05,South,Evening,11,10,1,True
2023-01-05,South,Night,10,10,0,True
2023-01-05,East,Morning,13,12,1,True
2023-01-05,East,Evening,12,10,2,True
2023-01-05,East,Night,11,10,1,True
2023-01-05,West,Morning,5,4,1,True
